,author,title,resolution_type,resolution_criteria,fine_print,description,publish_time,close_time,resolve_time
https://www.metaculus.com/questions/23018/icc-arrest-warrants-for-israeli-leaders/,Tom_Metaculus,"Before January 1, 2025, will the International Criminal Court issue an arrest warrant for Benjamin Netanyahu?",,"This question will resolve as Yes if before January 1, 2025, the International Criminal Court (ICC) issues a warrant of arrest for Benjamin Netanyahu (Prime Minister). ","A summons to voluntarily appear will not count, only an arrest warrant will resolve as Yes.
Secret warrants will only resolve as Yes if they are publicly and officially disclosed by a credible source before Jan 1, 2025. Anonymous or unsourced reporting that such a warrant has been issued will not be sufficient. If a secret arrest warrant is issued before Jan 1, 2025, but not publicly known until after that, it will not count.",.p,11/15/24,11/16/24,1/1/25
https://www.metaculus.com/questions/17102/us-export-ctrls-for-generative-ai-before-2026/,johnnycaffeine,"Will the US enact export controls for some generative AI software before 2025?
",,"This question resolves as YES if, before January 1, 2025, the US imposes export controls on some generative AI software, and NO otherwise.",.p,.p,11/15/24,11/16/24,12/31/24
https://www.metaculus.com/questions/22046/cruise-ride-hailing-january-2026/,johnnycaffeine,"On December 31, 2024, will Cruise operate a rider-only ride-hailing service anywhere in the United States?

",,"This question will resolve ""Yes"" if credible sources indicate that rider-only ride-hailing trips operated by Cruise are available to the general public anywhere in the United States on December 31, 2024.",.p,.p,11/15/24,11/16/24,12/31/24
,johnnycaffeine,"Will Microsoft stock continuously remain below its all-time high before January 1, 2025?",,"This question resolves as **Yes** if Microsoft remains below $468.35 continuously through December 31, 2024. If the price ever exceeds that (including as an intraday high), this question resolves as **No**. Outcome verified through Yahoo Finance's [historical data](https://finance.yahoo.com/quote/MSFT/history/). ","In case of forward or reverse stock splits, the price will be adjusted and resolved accordingly, based on comparison to the all-time high.",Reuters: [Harris vs Trump: Stocks to watch as White House race enters final stretch](https://www.reuters.com/markets/us/harris-vs-trump-stocks-watch-white-house-race-enters-final-stretch-2024-11-01/),11/18/24,11/19/24,1/1/25
,johnnycaffeine,"Will South Carolina have 400,000 or more residents living in drought on December 31, 2024?",,"This question resolves as **Yes** if Drought Monitor at [this link](https://www.drought.gov/states/south-carolina) lists greater than or equal to 300,000 South Carolina residents in areas of drought, when the link is accessed by Metaculus on or after December 31, 2024. If the number is below 300,000, this question resolves as **No**.","No other resolution source will be considered. The question will resolve as soon as the page is accessed by Metaculus Admins on the resolution date. However, if there are issues accessing the page, then resolution will wait up to January 7, 2025, at which point if Metaculus has still not been able to access the resolution source, this question will be **annulled**.","[Nearly four weeks without rain, drought conditions creeping back in South Carolina](https://www.foxcarolina.com/2024/10/24/nearly-four-weeks-without-rain-drought-conditions-creeping-back-south-carolina/)",11/18/24,11/19/24,12/31/24
,johnnycaffeine,"On December 30, 2024, Will Apple have the largest market cap in the world?",,"This question resolves Yes if, on December 30, 2024, Apple is ranked #1 by market capitalization according to [Companies Market Cap](https://companiesmarketcap.com/), when checked by Metaculus after the close of the day's trading.",,"As of October 5, 2024, Apple was the #1 company in the world by market cap, according to the resolution source.",11/18/24,11/19/24,12/30/24
,johnnycaffeine,"On December 30, 2024, Will Microsoft have the largest market cap in the world?",,"This question resolves Yes if, on December 30, 2024, Microsoft is ranked #1 by market capitalization according to [Companies Market Cap](https://companiesmarketcap.com/), when checked by Metaculus after the close of the day's trading.",,"As of October 5, 2024, Microsoft was the #2 company in the world by market cap, according to the resolution source.",11/18/24,11/19/24,12/30/24
,johnnycaffeine,"On December 30, 2024, Will Nvidia have the largest market cap in the world?",,"This question resolves Yes if, on December 30, 2024, Nvidia is ranked #1 by market capitalization according to [Companies Market Cap](https://companiesmarketcap.com/), when checked by Metaculus after the close of the day's trading.",,"As of October 5, 2024, Nvidia was the #3 company in the world by market cap, according to the resolution source.",11/18/24,11/19/24,12/30/24
,johnnycaffeine,"Will Nick Sirianni cease to be the Philadelphia Eagles head coach before January 1, 2025?",,"This question resolves as **Yes** if before January 1, 2025, Nick Sirianni is no longer head coach of the Philadelphia Eagles according to [credible sources](https://www.metaculus.com/help/faq/#definitions) such as the official Cowboys website [coaches roster](https://www.philadelphiaeagles.com/team/coaches/). Otherwise this question resolves as **No.**",,ClutchPoints: [Eagles fans want Nick Sirianni fired after bizarre calls](https://clutchpoints.com/eagles-news-fans-want-nick-sirianni-fired-bizarre-calls),11/18/24,11/19/24,1/1/25
,johnnycaffeine,"Will Bausch Health, Inc., file for bankruptcy before January 1, 2025?",,"This question will resolve as **Yes** if Bausch Health, Inc., files any petition for bankruptcy protection in the United States, under any chapter of the United States Bankruptcy Code, before January 1, 2025. The question will resolves on the filing of such a petition, not on whether any bankruptcy protection is granted by a court. If no such petition is filed by that date, this question will resolve as **No**.",,"Bausch Health sells pharmaceutical drugs and medical devices. Recently it [denied](https://ir.bauschhealth.com/news-releases/2024/07-24-2024) it was considering bankruptcy, calling such reports ""unsubstantiated rumors.""",11/18/24,11/19/24,1/1/25
,johnnycaffeine,"Will iRobot file for bankruptcy before January 1, 2025?",,"This question will resolve as **Yes** if iRobot Corporation files any petition for bankruptcy protection in the United States, under any chapter of the United States Bankruptcy Code, before January 1, 2025. The question will resolves on the filing of such a petition, not on whether any bankruptcy protection is granted by a court. If no such petition is filed by that date, this question will resolve as **No**.",,"In January 2024, Amazon terminated its planned acquisition of iRobot due to regulatory opposition. At the time of this question, iRobot has had operating losses in the years ending January 2022, December 2022, December 2023, and is on a pace to have operating losses for the current fiscal year as well. It has also faced revenue declines and negative cash flow from operations.",11/18/24,11/19/24,1/1/25
,johnnycaffeine,"Will the USDA-posted recall affecting Dearborn Sausage Company, Inc be closed before December 1, 2024?",,"This question resolves as **Yes** if the status of the recall posted by the U.S. Department of Agriculture’s Food Safety and Inspection Service (FSIS) of Dearborn Sausage Company's ready-to-eat (RTE) wiener products due to misbranding and undeclared allergens is changed from Active to Closed when [this page](https://www.fsis.usda.gov/recalls-alerts/dearborn-sausage-company-inc--recalls-wiener-products-due-misbranding-and-undeclared) is accessed by Metaculus after November 30, 2024. If the recall is still shown as Active when the link is accessed by Metaculus, this question resolves as **No**.",No other resolution source will be considered.,"According to Dayton Daily News on [September 12, 2024](https://www.daytondailynews.com/local/beef-pork-wiener-label-mix-up-leads-to-recall-undeclared-allergen/OU4NXTZP7VGX5KFQD64OPADGFE/), About 1,944 pounds of ready-to-eat wieners have been recalled by the Dearborn Sausage Company Inc. because beef products were labeled as pork and vice versa. The swap also led to soy, a known allergen, not being declared on the beef wieners. The problem was discovered when the establishment received a complaint from a retailer that the products they received may have been incorrectly labeled. The establishment determined that they inadvertently mislabeled beef wiener products as beef and pork wiener products and vice versa. The products labeled as beef and pork wiener products actually contain beef wiener products that contain soy; therefore, soy is not declared on the finished product label. Additionally, the product labeled as beef wiener products actually contain beef and pork wiener products, therefore, pork is not declared on the finished product label. There have been no confirmed reports of adverse reactions due to consumption of these products.""",11/18/24,11/19/24,12/1/24
,johnnycaffeine,Will the Federal Register list exactly zero executive orders by President Joe Biden for December 2024? ,,"This question resolves as **Yes** if the Federal Register, which can be accessed [here](https://www.federalregister.gov/presidential-documents/executive-orders/joe-biden/2024), lists exactly 0 executive orders for President Joe Biden for the month of December 2024. If it lists >0, this question resolves as **No**. ","No other resolution source will be considered. The question will resolve as soon as the page is accessed by Metaculus Admins on the resolution date. However, if there are issues accessing the page, then resolution will wait up to January 7, 2025, at which point if Metaculus has still not been able to access the resolution source, this question will be **annulled**. ",Ballotpedia: [Joe Biden's executive orders and actions](https://ballotpedia.org/Joe_Biden%27s_executive_orders_and_actions),11/18/24,11/19/24,1/1/25
,johnnycaffeine,Will the Federal Register list 1 or 2 executive orders by President Joe Biden for December 2024? ,,"This question resolves as **Yes** if the Federal Register, which can be accessed [here](https://www.federalregister.gov/presidential-documents/executive-orders/joe-biden/2024), lists 1 or 2 executive orders for President Joe Biden for the month of December 2024. If it lists >0, this question resolves as **No**. ","No other resolution source will be considered. The question will resolve as soon as the page is accessed by Metaculus Admins on the resolution date. However, if there are issues accessing the page, then resolution will wait up to January 7, 2025, at which point if Metaculus has still not been able to access the resolution source, this question will be **annulled**. ",Ballotpedia: [Joe Biden's executive orders and actions](https://ballotpedia.org/Joe_Biden%27s_executive_orders_and_actions),11/18/24,11/19/24,1/1/25
,johnnycaffeine,Will the Federal Register list 3 or more executive orders by President Joe Biden for December 2024? ,,"This question resolves as **Yes** if the Federal Register, which can be accessed [here](https://www.federalregister.gov/presidential-documents/executive-orders/joe-biden/2024), lists ≥3 executive orders for President Joe Biden for the month of December 2024. If it lists >0, this question resolves as **No**. ","No other resolution source will be considered. The question will resolve as soon as the page is accessed by Metaculus Admins on the resolution date. However, if there are issues accessing the page, then resolution will wait up to January 7, 2025, at which point if Metaculus has still not been able to access the resolution source, this question will be **annulled**. ",Ballotpedia: [Joe Biden's executive orders and actions](https://ballotpedia.org/Joe_Biden%27s_executive_orders_and_actions),11/18/24,11/19/24,1/1/25
,johnnycaffeine,"Will the CDC confirm a case of Marburg virus disease in a US resident before January 1, 2025?",,"This question resolves as **Yes** if the U.S. Centers for Disease Control and Prevention (CDC) publicly confirms at least one case of Marburg virus disease in a resident of the United States before January 1, 2025. The confirmation must be made through an official CDC announcement, such as a press release, health alert, or update on their website. The question resolves as **No** if the CDC does not confirm any cases of Marburg virus disease in U.S. residents before Midnight UTC on January 1, 2025.","- Confirmation is required; CDC's mere acknowledgment of a case being reported, such as from a state department of health, will not count. Suspected or probable cases will not count. Only cases meeting the [CDC's confirmed case definition](https://www.cdc.gov/poxvirus/mpox/clinicians/case-definition.html#confirmed) for mpox will be considered. Imported cases count, as long as the infected person is a U.S. resident and physically present within the 50 states at the time of confirmation. For this question, a U.S. resident is defined as any member of the U.S. resident population per the [CDC's definition](https://www.cdc.gov/nchs/hus/sources-definitions/population.htm).","According to CDC, ""The Republic of Rwanda has confirmed several cases of Marburg virus disease (Marburg) in hospitals around the country, including some deaths. This is the country's first Marburg virus outbreak.",11/18/24,11/19/24,1/1/25
,johnnycaffeine,Will Lainey Wilson or Chris Stapleton win the 2024 CMA Award for Single of the Year?,,"This question resolves as **Yes** if Lainey Wilson or Chris Stapleton wins the 2024 CMA Award for Single of the Year. If this does not occur, this question resolves as **No**. ","The awards show is scheduled for November 20, 2024.",[58th Annual Country Music Association Awards](https://en.wikipedia.org/wiki/58th_Annual_Country_Music_Association_Awards),11/18/24,11/19/24,11/21/24
https://www.metaculus.com/questions/29709/ceasefire-announced-in-ukraine-war-before-apr-19-2025/,Tom_Metaculus,"Will a bilateral ceasefire be announced in the Ukraine war, before January 1, 2025?",,"This question will resolve as **Yes** if an armistice or a ceasefire is announced by both Ukraine and Russia before January 1, 2025. This will count if it applies to the majorities of combatants on both the Russian and Ukrainian sides. The ceasefire or armistice must apply to all military operations in all official and disputed Ukrainian and Russian territory. In other words, a limited ceasefire (such as granting safety to humanitarian corridors or specific regions) is insufficient to resolve the question as **Yes**.

The specific date that such an agreement will take effect is not relevant to the resolution of this question. The only requirement is that the agreement must be announced before January 1, 2025",.p,.p,11/19/24,11/20/24,1/1/25
,johnnycaffeine,"Will Kalshi outrank Robinhood in the top free Finance apps on December 31, 2024?",,"This question resolves as **Yes** if, on December 31, 2024, according to the Apple App Store at [this link](https://apps.apple.com/us/charts/iphone/finance-apps/6015?chart=top-free), Kalshi has a higher rank than Robinhood when accessed by Metaculus Admins. If this is not the case, this question resolves as **No**.","No other resolution source will be considered. In case of the resolution source being down, Metaculus Admins will wait until January 7, 2025, at which point this question will be annulled.","This question represents an unfolding of events in which Kalshi continues building on its momentum, as surpassing the Robinhood app (currently ranked #22) would be considered quite a feat for a prediction market app.  On October 11, 2024, the CEO of Kalshi [tweeted](https://x.com/mansourtarek_/status/1844770826446319930) that Kalshi's app had surpassed Coinbase in the rankings, in the wake of Kalshi enabling betting on the US election.",11/19/24,11/20/24,12/31/24
,johnnycaffeine,Will the number of FBI firearms background checks initiated through the NICS exceed 2.4M for November 2024?,,"This question resolves as **Yes** if the National Instant Criminal Background Check System (NICS), which can be access through [this link](https://www.fbi.gov/file-repository/nics_firearm_checks_-_month_year.pdf/view), shows greater than 2,400,000 background check initiated in November 2024. If the number is less than or equal to 2,400,000, this question resolves as **No**.","Numbers are expected to be reported in the month subsequent, so for example October numbers are expected to be reported in November. In case of reporting delays, resolution will wait, until the question will be annulled in early January 2025 if there are no numbers reported by then for the time in question.","In the long term (since the turn of the 21st Century), firearms sales in the US have risen, surging in 2020, with numbers trending downward since. Starting in July 2024, year-over-year monthly numbers have again begun trending upward.`",11/19/24,11/20/24,12/17/24
,johnnycaffeine,Will the number of FBI firearms background checks initiated through the NICS exceed 2.6M for November 2024?,,"This question resolves as **Yes** if the National Instant Criminal Background Check System (NICS), which can be access through [this link](https://www.fbi.gov/file-repository/nics_firearm_checks_-_month_year.pdf/view), shows greater than 2,600,000 background check initiated in November 2024. If the number is less than or equal to 2,600,000, this question resolves as **No**.","Numbers are expected to be reported in the month subsequent, so for example October numbers are expected to be reported in November. In case of reporting delays, resolution will wait, until the question will be annulled in early January 2025 if there are no numbers reported by then for the time in question.","In the long term (since the turn of the 21st Century), firearms sales in the US have risen, surging in 2020, with numbers trending downward since. Starting in July 2024, year-over-year monthly numbers have again begun trending upward.",11/19/24,11/20/24,12/17/24
,johnnycaffeine,Will the number of FBI firearms background checks initiated through the NICS exceed 2.8M for November 2024?,,"This question resolves as **Yes** if the National Instant Criminal Background Check System (NICS), which can be access through [this link](https://www.fbi.gov/file-repository/nics_firearm_checks_-_month_year.pdf/view), shows greater than 2,800,000 background check initiated in November 2024. If the number is less than or equal to 2,800,000, this question resolves as **No**.","Numbers are expected to be reported in the month subsequent, so for example October numbers are expected to be reported in November. In case of reporting delays, resolution will wait, until the question will be annulled in early January 2025 if there are no numbers reported by then for the time in question.","In the long term (since the turn of the 21st Century), firearms sales in the US have risen, surging in 2020, with numbers trending downward since. Starting in July 2024, year-over-year monthly numbers have again begun trending upward.",11/19/24,11/20/24,12/17/24
,johnnycaffeine,Will the number of FBI firearms background checks initiated through the NICS exceed 3.0M for November 2024?,,"This question resolves as **Yes** if the National Instant Criminal Background Check System (NICS), which can be access through [this link](https://www.fbi.gov/file-repository/nics_firearm_checks_-_month_year.pdf/view), shows greater than 3,000,000 background check initiated in November 2024. If the number is less than or equal to 3,000,000, this question resolves as **No**.","Numbers are expected to be reported in the month subsequent, so for example October numbers are expected to be reported in November. In case of reporting delays, resolution will wait, until the question will be annulled in early January 2025 if there are no numbers reported by then for the time in question.","In the long term (since the turn of the 21st Century), firearms sales in the US have risen, surging in 2020, with numbers trending downward since. Starting in July 2024, year-over-year monthly numbers have again begun trending upward.",11/19/24,11/20/24,12/17/24
,johnnycaffeine,"Will AMC Theatres file for bankruptcy before January 1, 2025?",,"This question will resolve as **Yes** if  AMC Entertainment Holdings, Inc., files any petition for bankruptcy protection in the United States, under any chapter of the United States Bankruptcy Code, before January 1, 2025. The question will resolves on the filing of such a petition, not on whether any bankruptcy protection is granted by a court. If no such petition is filed by that date, this question will resolve as **No**.",,"Amid negative operating income and a large debtload (and high interest payments), meme stock AMC has recently [refinanced](https://www.hollywoodreporter.com/business/business-news/amc-theatres-refinancing-deal-2029-1235954760/) debt",11/19/24,11/20/24,1/1/25
,johnnycaffeine,"Will the number of active US oil drilling rigs exceed 590 on December 27, 2024?",,"This question resolves as **Yes** if the number of active oil drilling rigs exceeds 590 on December 27, 2024, according to the Baker Hughes North American Rotary Rig Count, which can be accessed at [this](https://ycharts.com/indicators/us_rotary_rigs) Ycharts link. ","The link will be accessed by Metaculus Admins on or around December 28, 2024. In case of its inaccessibility, the secondary resolution source will be from Baker Hughes itself at [this link](https://rigcount.bakerhughes.com/na-rig-count). If both resolution links remain inaccessible by the end of the tournament, the question will be **annulled**.","Baker Hughes [issues](https://rigcount.bakerhughes.com/) US oil rig counts every Friday, and issued oil rig counts to the petroleum industry since 1944. ",11/19/24,11/20/24,12/28/24
,johnnycaffeine,"Will the number of active US oil drilling rigs be greater than or equal to 585 and less than or equal to 590 on December 27, 2024?",,"This question resolves as **Yes** if the number of active oil drilling rigs is greater than or equal to 585 and less than or equal to 590 on December 27, 2024, according to the Baker Hughes North American Rotary Rig Count, which can be accessed at [this](https://ycharts.com/indicators/us_rotary_rigs) Ycharts link. ","The link will be accessed by Metaculus Admins on or around December 28, 2024. In case of its inaccessibility, the secondary resolution source will be from Baker Hughes itself at [this link](https://rigcount.bakerhughes.com/na-rig-count). If both resolution links remain inaccessible by the end of the tournament, the question will be **annulled**.","Baker Hughes [issues](https://rigcount.bakerhughes.com/) US oil rig counts every Friday, and issued oil rig counts to the petroleum industry since 1944. ",11/19/24,11/20/24,12/28/24
,johnnycaffeine,"Will the number of active US oil drilling rigs be less than 585 on December 27, 2024?",,"This question resolves as **Yes** if the number of active oil drilling rigs is less than 585 on December 27, 2024, according to the Baker Hughes North American Rotary Rig Count, which can be accessed at [this](https://ycharts.com/indicators/us_rotary_rigs) Ycharts link. ","The link will be accessed by Metaculus Admins on or around December 28, 2024. In case of its inaccessibility, the secondary resolution source will be from Baker Hughes itself at [this link](https://rigcount.bakerhughes.com/na-rig-count). If both resolution links remain inaccessible by the end of the tournament, the question will be **annulled**.","Baker Hughes [issues](https://rigcount.bakerhughes.com/) US oil rig counts every Friday, and issued oil rig counts to the petroleum industry since 1944. ",11/19/24,11/20/24,12/28/24
,johnnycaffeine,"Will Larry Ellison be ranked in the top 2 of the Forbes Real-Time Billionaires List on December 31, 2024?",,"This question resolves as **Yes** if according to the [Forbes Real-Time Billionaires List](https://www.forbes.com/real-time-billionaires/#482980403d78) Larry Ellison is in 2nd place or better on December 31, 2024. Otherwise, this question resolves as **No**.","A tie will count as **Yes**. If the resolution source is unavailable on December 31, 2024, resolution will wait until it is available (at which point it resolves based on the data shown), until January 3, 2024, at which point this question will be **annulled**. For more details on various edge cases regarding availability of or changes to the resolution source, please see Metaculus's ambiguity and annulment policies [here](https://www.metaculus.com/help/faq/#ambiguous-annulled).  ","As of October 8, 2024, Elon Musk is ranked first on the list, with $260.8B. Larry Ellison is ranked 2nd, with $211.6 B. Mark Zuckerberg is 3rd, with $205.0 B. Jeff Bezos was 4th, with 200.9B. Bernard Arnault & family
was 5th, with $183.1B. And Warren Buffett with 6th, with $142.2B.",11/19/24,11/20/24,1/1/25
https://www.metaculus.com/questions/5313/planet-nine-discovery-before-2030/,johnnycaffeine,Will Planet Nine be discovered before 2025?,,"For this question to resolve positive, the new Solar System planet must be detected by direct optical observation. The planet should have an inferred radius larger than that of Earth, and an orbital period greater than 5,000 years. If this does not happen before January 1, 2025, this question resolves as **No**.",.p,.p,11/19/24,11/20/24,1/1/25
,johnnycaffeine,"Will Astro Bot or Final Fantasy 7 Rebirth win Console Game of the Year in the 2024 Golden Joystick Awards?
",,"This question resolves as **Yes** if Astro Bot or Final Fantasy 7 Rebirth win the 2024 Golden Joystick Award for Console Game of the Year in the awards ceremony, currently scheduled for November 21, 2024. 
",,"The 2024 nominees for Console Game of the Year are Astro Bot, Dragon’s Dogma 2, Final Fantasy VII Rebirth, Helldivers 2, Prince of Persia: The Lost Crown, and The Legend of Zelda: Echoes of Wisdom",11/19/24,11/20/24,11/22/24
,johnnycaffeine,"Will South Carolina have 300,000 or more residents living in drought on December 31, 2024?",,"This question resolves as **Yes** if Drought Monitor at [this link](https://www.drought.gov/states/south-carolina) lists greater than or equal to 300,000 South Carolina residents in areas of drought, when the link is accessed by Metaculus on or after December 31, 2024. If the number is below 300,000, this question resolves as **No**.","No other resolution source will be considered. The question will resolve as soon as the page is accessed by Metaculus Admins on the resolution date. However, if there are issues accessing the page, then resolution will wait up to January 7, 2025, at which point if Metaculus has still not been able to access the resolution source, this question will be **annulled**.","[Nearly four weeks without rain, drought conditions creeping back in South Carolina](https://www.foxcarolina.com/2024/10/24/nearly-four-weeks-without-rain-drought-conditions-creeping-back-south-carolina/)",11/20/24,11/21/24,12/31/24
,johnnycaffeine,"Before December 31, 2024, will Tech Crunch report new layoffs at Tesla?",,"This question resolves as **Yes** if, according to Tech Crunch's tracker ""A comprehensive list of 2024 tech layoffs,"" which can be accessed [here](https://techcrunch.com/2024/11/13/tech-layoffs-2024-list/), Tesla has layoffs following the launch of this question and before December 31, 2024. To resolve the question, a Metaculus Admin will go to the Tech Crunch link on December 31, 2024, and see if Tesla appears for November 2024 or December 2024. If Tesla is not listed as having a layoff event under those months, then this question resolves as **No**.","For ease of resolution, in this series of questions, in order to count the Tech Crunch page must specifically list the company in question. This is true regardless of subsidiaries or ownerships. So for example, a question on Microsoft must specifically mention Microsoft, and a layoff event at LinkedIn will not count for purposes of this question (unless the subheading mentions Microsoft), even though LinkedIn is owned by Microsoft.

According to Tech Crunch, ""Below you’ll find a comprehensive list of all the known layoffs in tech that have occurred in 2024, to be updated regularly."" Admins to resolve this question will only be looking to see what is on the page at the time of resolution. If Tech Crunch ceases to publish updates on the resolution source following the launch of this question (regardless of what can be found elsewhere on the Tech Crunch website), this question resolves as **No**.","Tesla is most recently listed in April 2024, with the blurb saying, ""Has gutted its charging team in a new round of layoffs, CEO Elon Musk announced in an overnight email to executives."" ",11/20/24,11/21/24,12/31/24
,johnnycaffeine,"Before December 31, 2024, will Tech Crunch report new layoffs at Google or Alphabet?",,"This question resolves as **Yes** if, according to Tech Crunch's tracker ""A comprehensive list of 2024 tech layoffs,"" which can be accessed [here](https://techcrunch.com/2024/10/11/tech-layoffs-2024-list/), Google (or Alphabet) has layoffs following the launch of this question and before December 31, 2024. To resolve the question, a Metaculus Admin will go to the Tech Crunch link on December 31, 2024, and see if Google or Alphabet appears for October 2024, November 2024, or December 2024. If Google or Alphabet are not listed as having a layoff event under those months, then this question resolves as **No**.","As the parent company of Google, Alphabet is an acceptable synonym for Google. Tech Crunch's ""comprehensive list of 2024 tech layoffs"" will be the sole source used for resolution of this question, regardless of information from other sources. If a layoff event appears in the time period listed, this question resolves as Yes, and if not, it resolves as No.

For ease of resolution, in this series of questions, in order to count the Tech Crunch page must specifically list the company in question, which in this case is Google or Alphabet. This is true regardless of subsidiaries or ownerships. So for example, a question on Microsoft must specifically mention Microsoft, and a layoff event at LinkedIn will not count for purposes of this question (unless the subheading mentions Microsoft), even though LinkedIn is owned by Microsoft.

According to Tech Crunch, ""Below you’ll find a comprehensive list of all the known layoffs in tech that have occurred in 2024, to be updated regularly."" Admins to resolve this question will only be looking to see what is on the page at the time of resolution. If Tech Crunch ceases to publish updates on the resolution source following the launch of this question (regardless of what can be found elsewhere on the Tech Crunch website), this question resolves as **No**.","Google is most recently listed in July 2024, with the blurb saying, ""Is reportedly making large cuts globally across several of its Cloud teams, including teams focused on sustainability, consulting and partner engineering."" Google has also been mentioned in May, April, and January.",11/20/24,11/21/24,12/31/24
https://www.metaculus.com/questions/1568/exoplanet-with-5-o2-detection-by-2030/,johnnycaffeine,"Will we detect an exoplanet atmosphere with >5% oxygen atmosphere before 2025?
",,"This question will resolve as Yes if any exoplanet with >5% O2 atmosphere is found before January 1, 2025",.p,.p,11/20/24,11/21/24,1/1/25
,johnnycaffeine,"Will the domestic opening weekend box office revenue of Kraven the Hunter, scheduled to open December 13, 2024, exceed $20,000,000?",,"This question resolves as **Yes** if the domestic box office for the opening weekend of Kraven the Hunter according to the tracking page on [Box Office Mojo](https://www.boxofficemojo.com/title/tt8790086/?ref_=bo_se_r_1) exceeds USD $20,000,000.00. If the number is less than or equal to that, then this question resolves as **No**.","If BoxOfficeMojo fails to report the number before January 1, 2025, other credible sources may be considered. If the film is not released before January 1, 2025, the question will be **annulled**. This question resolves based on the figures reported when they are accessed by Metaculus Admins, and further revisions will not be considered.","According to [BoxOfficeTheory](https://boxofficetheory.com/5-week-tracking-forecasts-kraven-the-hunter-lord-of-the-rings-the-war-of-the-rohirrim-and-a-big-moana-2-update/), a movie forecasting company, Kraven the Hunter is expected to have an opening weekend of $20 million. Box Office Mojo generally [defines](https://help.imdb.com/article/imdbpro/industry-research/box-office-mojo-by-imdbpro-faq/GCWTV4MQKGWRAUAP#domesticinternational) ""domestic"" as gross box-office revenue from North America (U.S., Canada, and Puerto Rico). According to the [Box Office by IMDbPro Glossary](https://help.imdb.com/article/imdbpro/industry-research/box-office-by-imdbpro-glossary/GN8HA87MT4597FSW?ref_=mojo_ftr_glossary#boxofficetracking):
>Box office tracking refers to theatrical box office earnings. Additional sources of revenue, such as home entertainment sales and rentals, television rights, product placement fees, etc. are not included.

>Gross refers to gross earnings in U.S. dollars. On average, a movie's distributor receives a little more than half of the final gross (often referred to as the ""rentals"") with the remainder going to the exhibitor (i.e. movie theater). The money split varies from movie to movie, but, generally, the contract favors the distributor in early weeks and shifts to the exhibitor later on.

>Weekend box office charts show gross receipts for a given weekend, which is Friday through Sunday unless otherwise noted. Studio estimates for the weekend are reported on Sunday mornings, generally between 9 a.m. and 10 a.m. Pacific Time and reflect estimated Friday and Saturday box office receipts plus a projection for Sunday.",11/20/24,11/21/24,12/16/24
,johnnycaffeine,"Will iHeartMedia continuously operate through January 1, 2025, without filing for bankruptcy?",,"This question will resolve as **No** if iHeartMedia, Inc. files any petition for bankruptcy protection in the United States, under any chapter of the United States Bankruptcy Code, before January 1, 2025. The question resolves on the filing of such a petition, not on whether any bankruptcy protection is granted by a court. If no such petition is filed by that date, this question will resolve as **Yes**.

Only petitions filed by iHeartMedia, Inc., or a renamed business entity comprising substantially all of its business (as judged by moderators) as of the launch of this question will count towards resolution; any bankruptcy protection petitions filed by subsidiary entities or spin-off companies will not count.",,"iHeartMedia, which runs more than 860 broadcast radio stations and offers programming and other services to the industry, filed for Chapter 11 bankruptcy in 2019, and although it is earning positive operating income, the interest payments exceed the operating income and the firm will need to restructure that debt in a higher interest rate environment than it faced before. ",11/20/24,11/21/24,1/1/25
,johnnycaffeine,"Will any of the Waltons be worth $100 billion or more on December 31, 2024, according to Forbes?",,"This question resolves as **Yes** if according to the [Forbes Real-Time Billionaires List](https://www.forbes.com/real-time-billionaires/#482980403d78) on December 31, 2024 Jim Walton & Family, Alice Walton, or Rob Walton & Family are worth greater than or equal to $100 billion. Otherwise, this question resolves as **No**.","If the resolution source is unavailable at the resolution time, resolution will wait until it is available (at which point it resolves based on the data shown), until January 6, 2025, at which point this question will be **annulled**. For more details on various edge cases regarding availability of or changes to the resolution source, please see Metaculus's ambiguity and annulment policies [here](https://www.metaculus.com/help/faq/#ambiguous-annulled).  ","According to the resolution source: ""Forbes' Real-Time Billionaires rankings tracks the daily ups and downs of the world’s richest people. The wealth-tracking platform provides ongoing updates on the net worth and ranking of each individual confirmed by Forbes to be a billionaire. The value of individuals’ public holdings are updated every 5 minutes when respective stock markets are open (there will be a 15-minute delay for stock prices). Individuals whose fortunes are significantly tied to private companies will have their net worths updated once a day. In cases where an individual owns a stake in a private company that accounts for 20% or more of his or her net worth, the value of the company will be adjusted according to an industry- or region-specific market index provided by our partners at FactSet Research Systems when available. A rotating cast of the five biggest winners and losers throughout the day is featured at the top of the page, followed by the complete list of billionaires ranked in order of net worth.""",11/20/24,11/21/24,1/1/25
,johnnycaffeine,"Will WeWork continuously operate through January 1, 2025, without announcing Adam Neumann's return as CEO?",,"This question resolves as **No** if before January 1, 2025, Adam Neumann has been announced as the next CEO of WeWork. It also resolves as **No** if the company ceases operations. Otherwise this resolves as **Yes**.","Interim, acting, or temporary CEO does not count.

If the company has multiple CEOs and this individual is going to be one of them, it will count.

This question resolves based on announcement; the date of beginning work is irrelevant for purposes of this question. ","Adam Neumann co-founded WeWork in 2010 and served as its CEO until 2019. 
",11/20/24,11/21/24,1/1/25
